stock,return1y,return2y,return3y,momentum_3m,momentum_6m,momentum_1y,volatility_1y,volatility_2y,volatility_3y,priceToBook,marketCap,returnOnEquity,earningsGrowth
TUPRS.IS,0.8002226213121837,1.1511774533202024,0.9987367217149972,0.23728144035380705,0.5775973311014617,0.8002226213121837,59.517948869839636,68.06828939289065,60.20546724789493,3.0962572,86069018624,0.69121003,5.243
VAKBN.IS,0.4971455332477899,0.2482495484226317,0.09895319912868583,0.3484444807954987,0.5940875222783755,0.4971455332477899,0.4225865806191966,0.45747197281427926,0.7448921692286844,0.527693,43023728640,0.22103001,4.198
KRDMD.IS,0.30961186340955793,0.7765832485364328,1.5489084450335961,-0.1568604916938363,0.06883730450395342,0.30961186340955793,2.908738102850105,3.475049111343805,4.015247294449914,1.2728418,12835080192,0.58783,0.217
DOHOL.IS,0.6767536948311847,0.61118602963641,1.1717035193967182,0.29956325580287846,0.756190521954817,0.6767536948311847,0.6231807667074882,0.5841229391966651,0.8079046918267021,0.8557896,13571809280,0.36324,5.959
AKBNK.IS,0.5414162273197296,0.5932975015146154,0.4463051508595002,0.3597801684473514,0.5653104337809185,0.5414162273197296,1.4566469923862166,1.5459578869524624,1.4046768974750898,0.60639805,62295998464,0.34285,5.225
TKFEN.IS,0.3386060185591768,0.5459861666749686,0.47293662746025245,0.33603661941305063,0.42849607532488054,0.3386060185591768,4.0716242116857675,3.912435318923511,3.611204083641343,1.157678,10189800448,0.1475,2.065
FROTO.IS,0.3950237077430163,1.0871587140702221,1.7191869222876948,0.0904238991734525,0.27077501283387306,0.3950237077430163,53.98714653695856,72.21367837477224,86.99113712063965,10.191869,118923403264,1.33964,2.707
GARAN.IS,0.8175329005657708,0.9125165444237502,0.8522853673752326,0.541284818141774,0.8345355478441614,0.8175329005657708,2.8637342542671695,3.1331925260804017,2.7738157480182655,0.939779,105000001536,0.32325,3.297
KOZAA.IS,0.3780866325913328,0.5313128645478753,0.9610017037916201,-0.1422386405343925,0.2930194132630146,0.3780866325913328,5.59341789832377,5.970695202548199,6.303527827557157,1.8659098,10206503936,0.28619,-0.347
HALKB.IS,0.4580140462123856,0.2451224877563547,0.18092006297556584,0.20817896548034387,0.48726249996040627,0.4580140462123856,0.49391863077374387,0.45543758899172027,0.6480457598835342,0.5318118,35429822464,0.11143,7.206
TCELL.IS,0.18884404796156762,0.39952451147611034,0.5987488667663516,0.14227468312544245,0.08305014321434401,0.18884404796156762,2.2698870067812393,2.587454517978472,2.973626491705795,1.9794532,47111512064,0.24836999,0.667
KOZAL.IS,0.3807058572900113,0.5580269387197436,0.824268635343266,-0.15251199503983237,0.39113161033610044,0.3807058572900113,29.60229952294857,30.367404556042224,32.952725849484864,1.8956527,23393499136,0.32466,0.072
VESTL.IS,0.17738388484396506,0.589419424519138,1.096768900039049,0.10350421555307943,0.28345464403998255,0.17738388484396506,2.1170288800973025,4.523820456006938,7.14309420744665,1.0622802,10030134272,0.23945999,
YKBNK.IS,0.7511536501537797,0.8681323948478292,1.0840206921795361,0.4176822630848467,0.6936665910955286,0.7511536501537797,0.9705257319582122,1.0480457540082333,0.9624737913658999,0.62611806,59129352192,0.3539,4.423
TTKOM.IS,0.22419171343679567,0.4106506501718934,0.6365715588741516,0.09110557709680389,0.3303601849321698,0.22419171343679567,1.2683500753807564,1.5800871657207405,1.6253149182127211,3.1010454,37380001792,0.41457,0.094
BIMAS.IS,0.6288172562516037,0.49582268813152997,1.0079282047218676,0.3317987666812723,0.45276875896344393,0.6288172562516037,12.27295452428093,10.987331974227702,14.559937117616212,7.6672325,67496361984,0.62101,1.314
PETKM.IS,0.5184885011781986,0.9631743468928315,1.4199329501621067,0.2780593303392287,0.5249194159616763,0.5184885011781986,1.4273098895678356,2.112496809549458,2.4640474568968997,1.962841,33200640000,0.56749,0.878
ARCLK.IS,0.43215311836252823,0.9586074944543066,1.3980147897063029,-0.08229317363706024,0.2979762838886062,0.43215311836252823,15.499924900898437,17.12928444207286,18.347699111633986,1.9655682,44391333888,0.15921,-0.462
EREGL.IS,0.17734516317779114,0.9365126434936837,1.6507875580199411,-0.14783540303095588,0.07868313776947033,0.17734516317779114,6.430441241399153,8.455656311214614,9.433282539402455,1.0466932,100068720640,0.30659,1.086
SAHOL.IS,0.6975109006800819,0.865024756654718,1.1079941468353258,0.18137865863732738,0.5365804799347349,0.6975109006800819,4.375674544666922,4.730026766494064,4.3978210560153475,0.74726826,51148140544,0.39955002,3.725
EKGYO.IS,0.6513680492730006,0.6679806684341519,1.063950903966984,0.32193204500281847,0.7240392674263513,0.6513680492730006,0.5067700912983238,0.45875054775141766,0.5443559553916806,0.86709005,14498035712,0.13061,0.462
THYAO.IS,1.2474684772298978,1.6777136020433678,1.5728140546135685,0.3341792406460824,1.0008269447567395,1.2474684772298978,15.274188490617451,14.543333615888447,12.81523826613553,0.7127153,96185999360,0.21375,
PGSUS.IS,0.875076323569127,1.0029899234921063,0.8587303488410765,0.35639463266594085,0.7791776994682609,0.875076323569127,38.7217848089261,38.08087246753021,35.440362564718676,2.9143846,20848740352,-0.3829,
ISCTR.IS,0.9065786922452883,0.9619983203889595,1.0514769131909403,0.4612763714591941,0.8048408141406724,0.9065786922452883,1.1987252321515036,1.1341378183536726,1.0029563193206854,0.61899424,80154689536,0.33295,5.59
KCHOL.IS,0.5273870276314079,0.848359084981567,0.9080298473459649,0.1370634700697213,0.4186495060847468,0.5273870276314079,6.985976178349493,8.961430356348803,8.506685607725437,1.1941967,119145472000,0.42805,3.832
ASELS.IS,0.2458718711594483,0.3855810887907154,0.9540114871957179,0.08762450115126175,0.1827711348897827,0.2458718711594483,3.643858060047884,3.7901496391958966,4.746462408588708,2.1085052,60876001280,0.33973998,0.64
TAVHL.IS,0.6517834767772044,1.079512993028311,0.8338353346889891,0.31531129015202364,0.622254379576729,0.6517834767772044,10.863295218178497,12.054319912279144,10.860873495221846,2.2842455,22631309312,0.068280004,
GUBRF.IS,0.33097338433258905,0.21673885377608215,2.46895966809171,0.3329271658769333,0.34078058964523716,0.33097338433258905,13.246567231274785,17.823146470116942,28.533773311821996,32.714905,35337199616,0.28873,3.672
SISE.IS,0.6244787199474406,1.2456992461148622,1.5978988970418524,0.15510353640158092,0.7021574841414346,0.6244787199474406,5.169649879183721,5.459595920394457,5.410040779904606,3.293059,78479441920,0.30006,1.732
SASA.IS,0.6893557646771198,1.9488104232215728,2.913953273200994,0.36690211490375546,0.8182217404849337,0.6893557646771198,11.49390466774567,12.152590156203205,12.726085699271684,19.880419,58786533376,0.6179,20.255
